index,split,image,label,action,timestamp
0,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/000023_jpg.rf.456cf64804112b05db15a02d408949bb.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/000023_jpg.rf.456cf64804112b05db15a02d408949bb.txt,reject_move,2026-01-02T16:50:47.272919
1,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/000023_jpg.rf.6a7c1f15674f7bc27b68dcc1c46af377.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/000023_jpg.rf.6a7c1f15674f7bc27b68dcc1c46af377.txt,reject_move,2026-01-02T16:50:49.529135
2,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/000042_jpg.rf.4f28d3722390bc2f4c60071dacb19123.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/000042_jpg.rf.4f28d3722390bc2f4c60071dacb19123.txt,keep,2026-01-02T16:50:57.528595
3,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/000090_png_jpg.rf.4ca135f13d1d579e6045c867ffacd494.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/000090_png_jpg.rf.4ca135f13d1d579e6045c867ffacd494.txt,keep,2026-01-02T16:51:01.744346
4,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/00017-jpg-5dhbkd8h-ingestion-585c5dcfbb-ltlqg_jpg.rf.17679fa8f6ea74d6dbf44a9428835204.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/00017-jpg-5dhbkd8h-ingestion-585c5dcfbb-ltlqg_jpg.rf.17679fa8f6ea74d6dbf44a9428835204.txt,keep,2026-01-02T16:51:04.480290
5,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/00017-jpg-5dhbkdfc-ingestion-585c5dcfbb-qz9dm_jpg.rf.35595827b5be058e06ca783ce2aac151.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/00017-jpg-5dhbkdfc-ingestion-585c5dcfbb-qz9dm_jpg.rf.35595827b5be058e06ca783ce2aac151.txt,keep,2026-01-02T16:51:06.551957
6,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/00021_jpg.rf.91b8308f423def65487beef987a0e642.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/00021_jpg.rf.91b8308f423def65487beef987a0e642.txt,keep,2026-01-02T16:51:08.248627
7,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/0004282_water-pressure-gauge-0-100-psi_600_jpeg_jpg.rf.c377f7cf93954ea24f822a8c5664c3e2.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/0004282_water-pressure-gauge-0-100-psi_600_jpeg_jpg.rf.c377f7cf93954ea24f822a8c5664c3e2.txt,keep,2026-01-02T16:51:11.064204
8,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/00143_jpg.rf.71ffb0ae2a91e31f21022e6613021570.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/00143_jpg.rf.71ffb0ae2a91e31f21022e6613021570.txt,keep,2026-01-02T16:51:16.608330
9,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/00213_jpg.rf.3e59617d20ac976a947226b23ca7047c.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/00213_jpg.rf.3e59617d20ac976a947226b23ca7047c.txt,reject_move,2026-01-02T16:51:20.056654
